step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8
6/30/2022 17:49:48,6/30/2022 21:29:31,7/1/2022 0:53:04,7/1/2022 5:31:39,7/1/2022 9:01:25,7/1/2022 12:11:12,7/1/2022 13:13:45,7/1/2022 14:31:12
6/30/2022 18:47:35,6/30/2022 20:21:33,6/30/2022 23:32:16,7/1/2022 3:33:43,7/1/2022 5:27:47,7/1/2022 7:56:15,7/1/2022 11:34:23,7/1/2022 15:55:01
6/30/2022 19:02:11,6/30/2022 22:49:58,7/1/2022 0:29:41,7/1/2022 1:04:03,7/1/2022 2:27:31,7/1/2022 3:18:50,7/1/2022 6:37:17,7/1/2022 7:47:13
6/30/2022 20:41:38,6/30/2022 20:54:41,7/1/2022 1:27:45,7/1/2022 6:16:49,7/1/2022 9:41:52,7/1/2022 13:58:49,7/1/2022 15:10:18,7/1/2022 18:38:51
6/30/2022 21:08:56,6/30/2022 22:34:31,7/1/2022 2:30:50,7/1/2022 4:07:30,7/1/2022 6:22:20,7/1/2022 6:26:54,7/1/2022 6:54:04,7/1/2022 11:13:36
6/30/2022 21:38:59,6/30/2022 21:52:50,7/1/2022 0:23:58,7/1/2022 3:24:00,7/1/2022 6:19:34,7/1/2022 10:58:44,7/1/2022 15:06:56,7/1/2022 18:46:20
6/30/2022 23:39:19,7/1/2022 4:10:01,7/1/2022 8:06:36,7/1/2022 11:51:58,7/1/2022 13:43:42,7/1/2022 15:47:06,7/1/2022 17:03:35,7/1/2022 18:41:59
7/1/2022 1:26:36,7/1/2022 2:27:18,7/1/2022 7:17:32,7/1/2022 8:49:11,7/1/2022 10:29:46,7/1/2022 11:37:48,7/1/2022 16:32:35,7/1/2022 21:25:22
7/1/2022 3:07:06,7/1/2022 7:56:12,7/1/2022 8:51:27,7/1/2022 10:11:53,7/1/2022 10:29:07,7/1/2022 10:46:28,7/1/2022 11:05:33,7/1/2022 14:08:21
7/1/2022 3:35:09,7/1/2022 8:22:04,7/1/2022 10:07:26,7/1/2022 12:01:25,7/1/2022 14:40:42,7/1/2022 19:13:32,7/1/2022 21:54:54,7/2/2022 1:48:37
7/1/2022 4:06:19,7/1/2022 5:47:55,7/1/2022 9:57:31,7/1/2022 14:10:12,7/1/2022 18:43:12,7/1/2022 18:45:55,7/1/2022 22:25:06,7/2/2022 2:15:50
7/1/2022 6:00:28,7/1/2022 10:21:38,7/1/2022 15:03:46,7/1/2022 19:20:18,7/1/2022 20:31:52,7/1/2022 22:33:37,7/1/2022 23:18:40,7/2/2022 2:02:14
7/1/2022 6:47:06,7/1/2022 7:42:56,7/1/2022 7:52:31,7/1/2022 10:29:19,7/1/2022 13:17:13,7/1/2022 16:48:59,7/1/2022 18:37:41,7/1/2022 22:14:05
7/1/2022 7:05:59,7/1/2022 8:46:26,7/1/2022 10:16:09,7/1/2022 12:49:19,7/1/2022 12:50:52,7/1/2022 17:39:00,7/1/2022 21:01:28,7/1/2022 22:44:44
7/1/2022 8:28:14,7/1/2022 10:02:40,7/1/2022 11:13:45,7/1/2022 13:15:05,7/1/2022 14:41:11,7/1/2022 14:49:35,7/1/2022 16:05:14,7/1/2022 18:48:07
7/1/2022 10:13:07,7/1/2022 12:17:00,7/1/2022 16:46:34,7/1/2022 20:55:00,7/2/2022 1:52:09,7/2/2022 5:19:14,7/2/2022 6:38:40,7/2/2022 7:21:27
7/1/2022 10:49:53,7/1/2022 12:50:50,7/1/2022 15:23:12,7/1/2022 17:51:11,7/1/2022 22:45:36,7/2/2022 3:22:38,7/2/2022 3:39:09,7/2/2022 8:19:29
7/1/2022 12:33:13,7/1/2022 17:12:12,7/1/2022 18:38:21,7/1/2022 19:53:29,7/1/2022 20:41:21,7/1/2022 21:42:00,7/1/2022 21:57:10,7/2/2022 0:45:52
7/1/2022 12:49:25,7/1/2022 13:45:10,7/1/2022 14:52:37,7/1/2022 18:42:15,7/1/2022 19:46:05,7/1/2022 21:56:46,7/2/2022 1:11:23,7/2/2022 1:58:10
